Tooth #,CH (µm),FABL (µm),BW (µm),PDM (dt/mm),ADM (µm),
,Crown Height,Fore Aft Basal Length,Basal Width,Posterior denticles per millimeter,Posterior denticles per millimeter,
Average,,,,,,
HRS95045,3393,2401,1203,5.56,7.82,"probably a different species, tip of a much larger dino"
HRS95046,3649,2164,941,2.63,NA,
HRS95047,3398,2622,871,2.78,NA,
HRS95048,4531,2823,1118,1.77,NA,
HRS95049,2739,2340,765,3.37,NA,
HRS95050,3640,2401,1047,2.91,NA,
HRS95051,3136,2260,856,4.34,NA,Ant. Denticles; Dromeo shape
HRS95052,2537,1706,750,4.16,NA,Ant. denticles
HRS95053,3328,2411,962,2.8,NA,
HRS95054,2068,2442,690,3.58,NA,
HRS95055,4259,2325,1087,1.86,NA,"55,58, 59 similar"
HRS95056,3544,2220,826,2.9,NA,
HRS95057,2960,2164,710,3.69,NA,
HRS95058,4430,2456,1248,1.62,NA,
HRS95059,2628,2315,1077,1.78,NA,single ridge-like structure on lingual side
HRS95060,3796,2597,977,2.28,NA,
HRS95061,3454,2199,780,2.43,NA,"One pit. One side eroded, Lg. Denticles"
HRS95062,3428,2315,790,3.45,NA,0
HRS95063,3685,2355,876,3.01,NA,
HRS95064,2829,2466,851,3.33,NA,
HRS95065,3766,2481,971,2.86,NA,
HRS95066,3640,2237,896,2.43,NA,2 punctures on side
HRS95067,3368,1782,806,2.78,NA,Tip only; Base Broken
HRS95068,2835,2199,550,3.50,NA,Base Broken
HRS95069,3674,2431,1121,1.84,NA,
HRS95070,4198,2772,1003,2.13,NA,
HRS95071,3186,2604,781,3.17,NA,
HRS95072,2649,2359,801,3.45,NA,
HRS95073,4068,2823,1043,2.94,NA,
HRS95074,3285,2325,840,3.14,Na,
HRS95075,3056,2260,861,3.31,NA,
HRS95076,4350,3065,1186,3.95,9.05,Ant. Denticles
HRS95077,2115,1626,571,4.11,NA,
HRS95078,2452,2145,2145,4.15,NA,
HRS95079,2896,2140,924,4.21,7.91,Ant. Denticles
HRS95080,4180,2848,1120,2.52,NA,
HRS95081,2200,2176,748,3.41,NA,
HRS95082,3193,1978,840,3.22,NA,Part tip broken
HRS95083,3472,2132,852,2.56,NA,Tip broken; Base Broken
